Depth_in_core	Age_BP	Sr/Ca	Sr/Ca_200	Sr/Ca_SE	Sr/Ca_T	d18O	d18O_200	d18O_SE	d18Osw	d18Osw_200	d18Osw_SE	Ba/Ca	Ba/Ca_200	Ba/Ca_SE	d13C	d13C_200	d13C_SE	B/Ca	B/Ca_200	B/Ca_SE
77	1415.3	9.24	9.19	0.06	21.36	-5.71	-5.47	0.39	-2.67	-2.07	0.47	5.46	4.81	0.54	-2.12	-2.1	0.27	2.11	1.72	0.28
77	1415.3	9.08	9.19	0.06	21.36	-5.25	-5.47	0.39	-1.15	-2.07	0.47	5.01	4.81	0.54	-1.93	-2.1	0.27	1.47	1.72	0.28
98	3616	9.28	9.2	0.09	21.14	-6.57	-5.92	0.52	-3.85	-2.87	0.66	6.05	7.12	1.27	-4.85	-3.87	0.57	1.13	1.57	0.4
99	3704.4	9.23	9.23	0.08	20.6	-5.82	-5.57	0.55	-2.74	-2.86	0.51	5.79	6.74	0.99	-3.21	-3.26	0.74	1.98	1.49	0.34
99	3704.4	9.08	9.23	0.08	20.6	-5.37	-5.57	0.55	-2.02	-2.86	0.51	9.53	6.74	0.99	-3.55	-3.26	0.74	1.58	1.49	0.34
100	3792.9	9.33	9.27	0.06	19.91	-4.5	-5.46	0.34	-2.83	-2.86	0.35	5.61	5.6	0.98	-1.44	-2.57	0.43	1.25	1.67	0.25
101	3881.3	9.34	9.33	0.06	18.95	-5.58	-5.39	0.45	-3.24	-3.1	0.38	2.59	4.57	0.83	-3.14	-2.17	0.5	1.59	1.61	0.31
101	3881.3	9.37	9.33	0.06	18.95	-5.68	-5.39	0.45	-3.51	-3.1	0.38	5.92	4.57	0.83	-1.42	-2.17	0.5	1.99	1.61	0.31
101	3881.3	9.29	9.33	0.06	18.95	-5.79	-5.39	0.45	-2.83	-3.1	0.38	4.16	4.57	0.83	-2.68	-2.17	0.5	1.63	1.61	0.31
104	4146.5	9.37	NA	NA	NA	-5.3	NA	NA	-3.18	NA	NA	5.37	NA	NA	-2.75	NA	NA	1.63	NA	NA
106	4323.3	9.1	9.12	0.09	22.37	-5.21	-5.35	0.28	-2.93	-1.87	0.74	4.6	4.2	0.47	-2.03	-2.68	0.36	1.24	1.85	0.43
107	4411.7	9.3	9.08	0.05	23.15	-5.56	-5.41	0.18	-2.97	-0.97	0.55	4.49	4.14	0.35	-2.55	-2.51	0.21	1.45	1.91	0.24
107	4411.7	9.17	9.08	0.05	23.15	-5.52	-5.41	0.18	-2.04	-0.97	0.55	4.85	4.14	0.35	-4.06	-2.51	0.21	1.92	1.91	0.24
107	4411.7	9.36	9.08	0.05	23.15	-5.77	-5.41	0.18	-4.76	-0.97	0.55	5.09	4.14	0.35	-2.95	-2.51	0.21	1.14	1.91	0.24
107	4411.7	9.01	9.08	0.05	23.15	-5.24	-5.41	0.18	-0.56	-0.97	0.55	4.81	4.14	0.35	-3.23	-2.51	0.21	1.22	1.91	0.24
108	4422.5	8.72	9.08	0.05	23.15	-4.89	-5.41	0.18	-0.03	-0.97	0.55	3.36	4.14	0.35	-1.67	-2.51	0.21	1.97	1.91	0.24
108	4422.5	9.2	9.08	0.05	23.15	-5.22	-5.41	0.18	0.19	-0.97	0.55	2.16	4.14	0.35	-2.29	-2.51	0.21	3.97	1.91	0.24
109	4433.4	9.13	9.06	0.05	23.42	-5.6	-5.5	0.18	-1.83	-0.94	0.51	5.1	4.2	0.34	-3.76	-2.58	0.2	1.94	1.89	0.23
110	4444.2	8.95	9.06	0.05	23.48	-5.07	-5.49	0.17	-0.31	-1.07	0.5	4.58	4.21	0.32	-2.35	-2.56	0.19	1.61	1.88	0.22
110	4444.2	9.05	9.06	0.05	23.48	-5.65	-5.49	0.17	-1.6	-1.07	0.5	4.89	4.21	0.32	-1.89	-2.56	0.19	1.8	1.88	0.22
111	4455	9.04	9.07	0.04	23.18	-5.47	-5.46	0.16	-1.33	-1.1	0.44	4.85	4.22	0.28	-1.84	-2.45	0.19	1.52	1.87	0.19
111	4455	NA	NA	NA	NA	-5.93	-5.46	0.16	3.14	NA	NA	NA	NA	NA	-1.85	-2.45	0.19	NA	NA	NA
111	4455	8.97	9.07	0.04	23.18	-4.88	-5.46	0.16	-0.92	-1.1	0.44	1.96	4.22	0.28	-3.13	-2.45	0.19	2.8	1.87	0.19
112	4465.8	NA	NA	NA	NA	-5.24	-5.46	0.16	2.93	NA	NA	NA	NA	NA	-1.85	-2.45	0.19	NA	NA	NA
112	4465.8	8.77	9.07	0.04	23.18	-5.79	-5.46	0.16	-0.85	-1.1	0.44	5.33	4.22	0.28	-2.33	-2.45	0.19	2.3	1.87	0.19
