medianAge	AGE (kyr BP)	Variance
5240.915916	5.241	97.95110575
5248.675676	5.249	97.86282719
5256.435435	5.256	97.77550312
5264.195195	5.264	97.68913243
5271.954955	5.272	97.60371406
5279.714715	5.280	97.51924696
5287.474474	5.287	97.43573009
5295.234234	5.295	97.35316265
5302.993994	5.303	97.27154478
5310.753754	5.311	97.19087694
5318.513514	5.319	97.11115962
5326.273273	5.326	97.0323933
5334.033033	5.334	96.95457851
5341.792793	5.342	96.87771576
5349.552553	5.350	96.80180563
5357.312312	5.357	96.72684868
5365.072072	5.365	96.65284551
5372.831832	5.373	96.57979722
5380.591592	5.381	96.50770581
5388.351351	5.388	96.43657342
5396.111111	5.396	96.36640219
5403.870871	5.404	96.29719428
5411.630631	5.412	96.22895186
5419.39039	5.419	96.16167711
5427.15015	5.427	96.09537226
5434.90991	5.435	96.03003953
5442.66967	5.443	95.96568115
5450.429429	5.450	95.90229907
5458.189189	5.458	95.83989509
5465.948949	5.466	95.77847099
5473.708709	5.474	95.71802859
5481.468468	5.481	95.65856971
5489.228228	5.489	95.60009621
5496.987988	5.497	95.54260998
5504.747748	5.505	95.48611289
5512.507508	5.513	95.43060689
5520.267267	5.520	95.37609355
5528.027027	5.528	95.3225737
5535.786787	5.536	95.27004808
5543.546547	5.544	95.21851747
5551.306306	5.551	95.16798266
5559.066066	5.559	95.11844447
5566.825826	5.567	95.06990375
5574.585586	5.575	95.02236136
5582.345345	5.582	94.97581822
5590.105105	5.590	94.93027506
5597.864865	5.598	94.88573235
5605.624625	5.606	94.84219055
5613.384384	5.613	94.79965015
5621.144144	5.621	94.75811169
5628.903904	5.629	94.71757552
5636.663664	5.637	94.67804173
5644.423423	5.644	94.63951043
5652.183183	5.652	94.60198154
5659.942943	5.660	94.56545449
5667.702703	5.668	94.52992861
5675.462462	5.675	94.49540326
5683.222222	5.683	94.46187733
5690.981982	5.691	94.42934898
5698.741742	5.699	94.39781633
5706.501502	5.707	94.36727753
5714.261261	5.714	94.33773044
5722.021021	5.722	94.30917191
5729.780781	5.730	94.2815986
5737.540541	5.738	94.2550072
5745.3003	5.745	94.22939441
5753.06006	5.753	94.20475644
5760.81982	5.761	94.18108908
5768.57958	5.769	94.15838815
5776.339339	5.776	94.13664949
5784.099099	5.784	94.11586907
5791.858859	5.792	94.0960431
5799.618619	5.800	94.07716781
5807.378378	5.807	94.05923948
5815.138138	5.815	94.04225457
5822.897898	5.823	94.02621081
5830.657658	5.831	94.01110652
5838.417417	5.838	93.99694004
5846.177177	5.846	93.98370978
5853.936937	5.854	93.97141515
5861.696697	5.862	93.96005741
5869.456456	5.869	93.94963802
5877.216216	5.877	93.94015847
5884.975976	5.885	93.93162065
5892.735736	5.893	93.92402833
5900.495495	5.900	93.91738596
5908.255255	5.908	93.91169803
5916.015015	5.916	93.90696907
5923.774775	5.924	93.9032043
5931.534535	5.932	93.90040989
5939.294294	5.939	93.8985921
5947.054054	5.947	93.89775721
5954.813814	5.955	93.89791155
5962.573574	5.963	93.89906149
5970.333333	5.970	93.90121344
5978.093093	5.978	93.90437383
5985.852853	5.986	93.90854911
5993.612613	5.994	93.91374519
6001.372372	6.001	93.91996744
6009.132132	6.009	93.92722124
6016.891892	6.017	93.93551199
6024.651652	6.025	93.94484497
6032.411411	6.032	93.95522439
6040.171171	6.040	93.96665411
6047.930931	6.048	93.979138
6055.690691	6.056	93.99267996
6063.45045	6.063	94.00728321
6071.21021	6.071	94.02295028
6078.96997	6.079	94.03968372
6086.72973	6.087	94.05748607
6094.489489	6.094	94.07635979
6102.249249	6.102	94.09630653
6110.009009	6.110	94.11732779
6117.768769	6.118	94.1394251
6125.528529	6.126	94.16260002
6133.288288	6.133	94.18685358
6141.048048	6.141	94.21218626
6148.807808	6.149	94.23859856
6156.567568	6.157	94.26609098
6164.327327	6.164	94.29466376
6172.087087	6.172	94.32431611
6179.846847	6.180	94.35504708
6187.606607	6.188	94.38685573
6195.366366	6.195	94.41974112
6203.126126	6.203	94.45370124
6210.885886	6.211	94.48873322
6218.645646	6.219	94.52483416
6226.405405	6.226	94.56200121
6234.165165	6.234	94.6002311
6241.924925	6.242	94.63951906
6249.684685	6.250	94.67986002
6257.444444	6.257	94.72124893
6265.204204	6.265	94.76368066
6272.963964	6.273	94.80714894
6280.723724	6.281	94.85164676
6288.483483	6.288	94.89716711
6296.243243	6.296	94.94370301
6304.003003	6.304	94.99124698
6311.762763	6.312	95.03979071
6319.522523	6.320	95.08932581
6327.282282	6.327	95.13984391
6335.042042	6.335	95.19133656
6342.801802	6.343	95.24379482
6350.561562	6.351	95.2972095
6358.321321	6.358	95.35157143
6366.081081	6.366	95.40687142
6373.840841	6.374	95.4631
6381.600601	6.382	95.52024747
6389.36036	6.389	95.57830411
6397.12012	6.397	95.63726019
6404.87988	6.405	95.69710576
6412.63964	6.413	95.75783049
6420.399399	6.420	95.81942398
6428.159159	6.428	95.88187582
6435.918919	6.436	95.94517527
6443.678679	6.444	96.00931091
6451.438438	6.451	96.07427129
6459.198198	6.459	96.14004484
6466.957958	6.467	96.20661916
6474.717718	6.475	96.2739813
6482.477477	6.482	96.34211826
6490.237237	6.490	96.41101641
6497.996997	6.498	96.48066108
6505.756757	6.506	96.5510375
6513.516517	6.514	96.62213031
6521.276276	6.521	96.69392307
6529.036036	6.529	96.76639911
6536.795796	6.537	96.8395415
6544.555556	6.545	96.91333226
6552.315315	6.552	96.9877531
6560.075075	6.560	97.06278564
6567.834835	6.568	97.13841093
6575.594595	6.576	97.21460964
6583.354354	6.583	97.29136238
6591.114114	6.591	97.36864966
6598.873874	6.599	97.44645196
6606.633634	6.607	97.52474968
6614.393393	6.614	97.60352338
6622.153153	6.622	97.68275432
6629.912913	6.630	97.76242379
6637.672673	6.638	97.84251305
6645.432432	6.645	97.92300331
6653.192192	6.653	98.00387569
6660.951952	6.661	98.08511129
6668.711712	6.669	98.16669211
6676.471471	6.676	98.24860203
6684.231231	6.684	98.33082507
6691.990991	6.692	98.41334524
6699.750751	6.700	98.49614644
6707.510511	6.708	98.57921257
6715.27027	6.715	98.66252744
6723.03003	6.723	98.74607481
