year	SST_NINO3.4_RECONSTRUTED
979	-0.09590938223
980	-0.7568892868
981	-0.659239458
982	1.166812596
983	-0.3569436806
984	-0.04899075462
985	-0.8164927585
986	-0.5071259422
987	-0.4347299102
988	-0.8854929322
989	-0.6899292451
990	0.4110783844
991	0.07728150869
992	-0.2066056225
993	0.8231576142
994	0.2337670629
995	-0.3326806435
996	-0.4100017433
997	-0.3322958517
998	0.7826664199
999	0.1225537172
1000	-0.2568371642
1001	-0.6483086995
1002	-0.3434832596
1003	0.1567720115
1004	0.2544552003
1005	0.07676468275
1006	0.7218548175
1007	0.8325492035
1008	1.20829608
1009	1.09468909
1010	0.2177113342
1011	-0.5414935385
1012	-0.8953078368
1013	-0.05707920863
1014	0.1994790069
1015	-0.5526879884
1016	-0.2757939289
1017	-0.02199529243
1018	0.6844892932
1019	0.07394914518
1020	-0.5769387065
1021	0.1668234065
1022	0.3959196614
1023	0.443770302
1024	0.6170877016
1025	0.1816236471
1026	0.07240817933
1027	-0.350153253
1028	-0.2139533123
1029	0.1048052653
1030	0.3044909503
1031	0.8546340323
1032	0.6925612064
1033	0.3046350968
1034	0.7546783334
1035	0.0757808824
1036	0.8951314873
1037	0.4678142677
1038	-0.150070292
1039	-0.66263065
1040	-0.2501546813
1041	-0.04378797139
1042	-0.3603060161
1043	-0.6156048629
1044	0.4288117943
1045	0.2846730195
1046	-0.1693992708
1047	-0.09668026572
1048	-0.4428052505
1049	-0.2248815984
1050	-0.2883491671
1051	0.1199538529
1052	0.2599885795
1053	-0.1708216028
1054	0.5407341175
1055	1.018320074
1056	0.06734405639
1057	0.2044059302
1058	-0.311181291
1059	-0.2750149731
1060	-0.205393166
1061	0.5869876571
1062	0.1671996806
1063	0.4827269442
1064	0.8437883851
1065	-0.6397398955
1066	0.153595156
1067	0.1838673091
1068	-0.206779792
1069	-0.4267545225
1070	-0.2033135648
1071	-0.1502137014
1072	-0.2029078831
1073	0.6651368466
1074	0.03660975079
1075	-0.1475818515
1076	-0.08430301131
1077	0.8579860702
1078	-0.4114354649
1079	-0.1904328396
1080	-0.1510992926
1081	-0.4297916506
1082	-0.2638842751
1083	-0.3016236008
1084	0.6903277374
1085	0.4483753587
1086	0.707923426
1087	0.4168239096
1088	0.1005610002
1089	0.3727045443
1090	-0.6854488839
1091	-1.403375487
1092	-0.5748606695
1093	0.03515980278
1094	0.02268934424
1095	-0.2979188141
1096	0.106393112
1097	-0.126462456
1098	-0.1658013884
1099	-0.3799058742
1100	0.3848374795
1101	0.2801134768
1102	-0.2287815904
1103	0.9036103393
1104	0.1143177423
1105	0.375574634
1106	0.372679789
1107	0.4642564044
1108	1.656003074
1109	1.493673884
1110	0.4686186001
1111	0.05503082083
1112	1.215711231
1113	0.5060661785
1114	-0.2901389746
1115	0.2585174884
1116	0.1757530165
1117	-0.1958598109
1118	0.01827505013
1119	0.1176755027
1120	-0.7540413166
1121	0.1607616314
1122	0.79430957
1123	0.5557188509
1124	0.2358148118
1125	0.098363193
1126	-0.4139319815
1127	-0.4076052975
1128	0.1722661842
1129	0.1469129591
1130	0.2345516271
1131	0.4440049277
1132	0.3850757916
1133	-0.07001276287
1134	0.3514636799
1135	0.1614515634
1136	0.5022687722
1137	0.2742151491
1138	-0.3783283315
1139	-0.1044626414
1140	-0.3131610325
1141	0.2465699972
1142	0.2347022086
1143	0.6060156578
1144	1.021864892
1145	1.096406996
1146	0.8871641644
1147	0.5002986987
1148	-0.6024600966
1149	0.08811580031
1150	1.041002136
1151	0.6056779823
1152	0.855399183
1153	0.6541285764
1154	0.3983058337
1155	-0.1116961592
1156	-0.00706919698
1157	-0.4151209235
1158	-0.2633823753
1159	0.3755300663
1160	0.5015504118
1161	-0.3762405357
1162	0.1067400489
1163	0.1949221233
1164	-0.05297211468
1165	0.5746850578
1166	-0.5802401031
1167	-0.745470589
1168	-0.513638004
1169	-0.2506001974
1170	-0.344039942
1171	-0.8495854025
1172	0.5001510388
1173	-0.2945839269
1174	-0.06107551397
1175	-0.5454678048
1176	1.04070981
1177	0.0525978391
1178	-0.2194771205
1179	0.1088718903
1180	0.4999294738
1181	1.135975952
1182	0.5520099376
1183	1.116282097
1184	-0.1979368436
1185	-0.1542578025
1186	-0.36514476
1187	-0.5219555553
1188	-0.4151113076
1189	-0.4719366736
1190	-0.0707473613
1191	1.073538696
1192	0.07770167066
1193	0.5145635506
1194	-0.4385824161
1195	-0.3356549299
1196	0.1016001547
1197	0.9508936658
1198	0.06259485086
1199	-0.6911117623
1200	0.8547707057
1201	0.5175995524
1202	-0.274012711
1203	1.061193218
1204	0.2271860472
1205	0.03087983555
1206	0.4135517692
1207	0.765372304
1208	0.6219174904
1209	0.4615449437
1210	0.13794792
1211	-0.03743832621
1212	-0.4964890765
1213	-0.2901842714
1214	-1.008155004
1215	0.3229564918
1216	0.3460647866
1217	-0.4052156979
1218	-0.2019863842
1219	-0.4038999192
1220	0.4404084093
1221	0.180920273
1222	-0.518606775
1223	-1.297416456
1224	-0.1885096821
1225	1.239256873
1226	-0.1828279064
1227	0.2288397563
1228	0.4323434928
1229	0.619194666
1230	0.3968260495
1231	0.4324092856
1232	-0.2720127153
1233	-0.2795496748
1234	-0.6871558251
1235	0.09986376727
1236	0.747433698
1237	0.1744860365
1238	-0.05925420954
1239	0.7800793666
1240	-0.1615355749
1241	-0.13212873
1242	0.1354576182
1243	-0.203662165
1244	0.3355898436
1245	-0.4275053491
1246	-0.2356629853
1247	-0.4954691277
1248	-0.3727043594
1249	-0.1625370342
1250	-0.3492614327
1251	-0.9006249698
1252	-1.18223752
1253	-0.9559853961
1254	-0.02984156095
1255	-0.2551307755
1256	0.2692667722
1257	1.303854645
1258	1.746949673
1259	1.021858475
1260	0.4217334181
1261	0.03110261384
1262	0.1999100656
1263	0.1080583478
1264	0.1037506169
1265	0.3604182141
1266	0.4758208385
1267	-0.4996515302
1268	0.322511662
1269	0.8988175521
1270	-0.7754856497
1271	1.014683232
1272	-0.3034554044
1273	0.4160002895
1274	-1.557119792
1275	-0.218741079
1276	-0.04814512318
1277	-0.194902974
1278	-1.407234058
1279	-0.09133125845
1280	0.6934758383
1281	1.108075955
1282	-0.1682360222
1283	0.1398801469
1284	-0.007695856384
1285	1.210807212
1286	0.7338282143
1287	0.01847844897
1288	-0.1796719933
1289	-0.5638551497
1290	0.3562547612
1291	0.1933567493
1292	-0.06504982469
1293	0.8998627293
1294	0.02909916696
1295	0.2186725968
1296	0.3427031742
1297	-0.8286806434
1298	-0.5228871943
1299	0.1650306743
1300	0.4124471617
1301	0.4009080152
1302	0.9294141949
1303	-0.1882599969
1304	0.07957998997
1305	0.3471868753
1306	0.3683622849
1307	-0.5448198141
1308	0.7683954155
1309	0.7187268174
1310	0.04796451097
1311	0.334141478
1312	-0.3794718682
1313	0.09839584225
1314	0.1008517528
1315	0.04324832001
1316	-1.048669925
1317	-0.275779108
1318	0.7096585881
1319	1.193772606
1320	-0.2016856503
1321	-0.5906036917
1322	0.1210285609
1323	-1.246086566
1324	-0.3385729946
1325	-0.4651247408
1326	-0.7010457107
1327	-0.07322146993
1328	0.1095779864
1329	0.2638438883
1330	0.2329296774
1331	0.5976436974
1332	0.3016840308
1333	-0.5022722733
1334	-0.5603092542
1335	-0.6184045762
1336	-0.002801777284
1337	-0.1922076195
1338	0.1433196891
1339	0.2340335553
1340	-0.2177076333
1341	-0.1134865522
1342	0.09238180632
1343	0.3922487787
1344	0.1465546867
1345	-0.2923312673
1346	-0.1673447124
1347	-0.1117284124
1348	-0.05757114971
1349	0.2713807884
1350	-0.03408958293
1351	-0.08794963995
1352	0.1528923514
1353	-0.5029893775
1354	-0.4595347881
1355	-0.3604830552
1356	-0.4352312697
1357	-0.5238825436
1358	-0.3121635405
1359	-0.4351624203
1360	0.06525344851
1361	-0.4646416718
1362	-0.4043003904
1363	-0.06287100374
1364	-0.584699152
1365	-0.5433603591
1366	-0.36054173
1367	0.2822575552
1368	0.5526636491
1369	0.6898709338
1370	0.5306048247
1371	-0.1722960299
1372	0.1647325001
1373	-0.4148862343
1374	0.4057607156
1375	-0.04699844416
1376	0.5629019527
1377	-0.08763608466
1378	-0.1441604941
1379	0.1720864937
1380	0.2433805381
1381	0.5414865947
1382	-0.003863787946
1383	-0.3792193103
1384	0.3013705606
1385	0.4075348911
1386	0.3307712895
1387	-0.1071642008
1388	-0.1446438806
1389	-0.2480363413
1390	-0.1357195567
1391	-0.8639378765
1392	0.03537533666
1393	0.08189399435
1394	-0.3502083422
1395	-0.5863670588
1396	-0.439056224
1397	-0.6247616618
1398	-1.05462909
1399	-0.6165557506
1400	-0.2831805883
1401	0.7970547181
1402	-0.08041730518
1403	0.8662846061
1404	0.01131654777
1405	-0.7810773696
1406	-0.3579567713
1407	0.1149624954
1408	-0.8225661107
1409	0.07589469352
1410	-0.12287699
1411	0.2830870543
1412	-0.0294184958
1413	-0.6011974345
1414	-0.03037121561
1415	-0.100801045
1416	0.3980230461
1417	-0.3072811827
1418	-0.5335632291
1419	0.4738269808
1420	0.2008781866
1421	0.1982574603
1422	-0.5023329924
1423	-0.1229890747
1424	-0.5707656716
1425	-0.2201054104
1426	-0.4220977033
1427	-0.08253629102
1428	0.3502946081
1429	-0.1161405075
1430	-0.3510715176
1431	0.2981270235
1432	-0.08953529365
1433	0.04367665162
1434	-0.2793651516
1435	-0.140330947
1436	0.9721574396
1437	-0.2722273142
1438	-0.08583144508
1439	-0.635525658
1440	-0.7623549451
1441	-0.1872081148
1442	-0.439423651
1443	-0.2957647583
1444	0.8566523118
1445	0.3044176218
1446	-0.02593252326
1447	0.1926082766
1448	0.2514425627
1449	-0.1281347366
1450	0.6680845987
1451	1.191000875
1452	-0.0938989469
1453	0.2184591727
1454	0.3605940571
1455	1.023435225
1456	0.4940456436
1457	0.1886147519
1458	0.6502951953
1459	0.08262006083
1460	0.3452072426
1461	0.498723941
1462	-0.1723237892
1463	-0.120154265
1464	-0.03335801201
1465	-0.2076662275
1466	0.5178245685
1467	0.3803487828
1468	0.7940088056
1469	-0.2858866388
1470	0.9899163383
1471	0.809120493
1472	-0.01315101762
1473	-0.2289964079
1474	0.05600482919
1475	-0.5312570841
1476	0.4503591416
1477	-0.001518672956
1478	0.4171544518
1479	-0.650865368
1480	1.211037801
1481	0.9720334307
1482	0.5280076984
1483	-0.2656933378
1484	0.8899499297
1485	0.5577851705
